Designator,Val,Package,MID X,MID Y,Rotation,Layer
"C1","10u","C_0805_2012Metric",-11.180000,52.000000,-90.000000,bottom
"C2","22pf","C_0805_2012Metric",-51.997248,49.970000,-45.000000,bottom
"C3","22pf","C_0805_2012Metric",-47.547248,54.420000,135.000000,bottom
"C4","10u","C_0805_2012Metric",-17.960000,51.992651,-90.000000,bottom
"C5","100n","C_0805_2012Metric",-42.927248,33.780000,90.000000,bottom
"C6","100n","C_0805_2012Metric",-26.073434,48.502651,90.000000,bottom
"C7","100n","C_0805_2012Metric",-28.093434,48.502651,90.000000,bottom
"C8","1u","C_0805_2012Metric",-30.123434,48.502651,90.000000,bottom
"C9","100n","C_0805_2012Metric",-22.013434,51.992651,-90.000000,bottom
"C10","1u","C_0805_2012Metric",-33.063434,50.762651,-45.000000,bottom
"C11","100n","C_0805_2012Metric",-24.043434,51.992651,-90.000000,bottom
"C12","100n","C_0805_2012Metric",-26.073434,51.992651,-90.000000,bottom
"C13","100n","C_0805_2012Metric",-28.093434,51.992651,-90.000000,bottom
"C14","100n","C_0805_2012Metric",-30.123434,51.992651,-90.000000,bottom
"C17","10u","C_0805_2012Metric",-19.980000,51.992651,-90.000000,bottom
"D1","BAV70","SOT-23",-49.107248,71.744122,-75.000000,bottom
"D2","BAV70","SOT-23",-45.687248,72.665926,-75.000000,bottom
"D3","BAV70","SOT-23",-42.257248,73.595926,-75.000000,bottom
"D4","BAV70","SOT-23",-67.076058,33.838196,-75.000000,bottom
"D5","BAV70","SOT-23",-37.728429,73.595926,-105.000000,bottom
"D6","BAV70","SOT-23",-34.308429,72.665926,-105.000000,bottom
"D7","BAV70","SOT-23",-30.859619,71.744122,-105.000000,bottom
"D8","BAV70","SOT-23",-70.527248,32.920000,-75.000000,bottom
"D9","BAV70","SOT-23",-52.557248,70.815878,-75.000000,bottom
"D10","BAV70","SOT-23",-55.997248,69.895926,-75.000000,bottom
"D11","BAV70","SOT-23",-41.867248,69.710000,90.000000,bottom
"D12","BAV70","SOT-23",-39.990000,28.480000,90.000000,bottom
"D13","BAV70","SOT-23",-38.107248,69.710000,90.000000,bottom
"D14","BAV70","SOT-23",-23.948429,69.895926,-105.000000,bottom
"D15","BAV70","SOT-23",-27.394878,70.815878,-105.000000,bottom
"D16","BAV70","SOT-23",-7.353697,32.889952,-105.000000,bottom
"D17","BAV70","SOT-23",-14.237248,34.750000,-105.000000,bottom
"D18","BAV70","SOT-23",-17.677248,35.680000,-105.000000,bottom
"D19","BAV70","SOT-23",-63.626067,34.765926,-75.000000,bottom
"D20","BAV70","SOT-23",-60.176067,35.691852,-75.000000,bottom
"D21","BAV70","SOT-23",-56.737248,36.620000,-75.000000,bottom
"D22","BAV70","SOT-23",-21.137248,36.620000,-105.000000,bottom
"D23","BAV70","SOT-23",-10.788438,33.818196,-105.000000,bottom
"J1","BREAKOUT","PinSocket_1x05_P2.54mm_Vertical",-61.990000,51.810000,90.000000,bottom
"J2","Conn_01x03_Male","PinSocket_1x03_P2.54mm_Vertical",11.467752,49.210000,-90.000000,bottom
"J3","Conn_01x04_Female","JST-SR-4",-3.227248,49.210000,-90.000000,bottom
"J4","3x Breakout | additional pins","PinHeader_1x03_P2.54mm_Vertical",-56.730000,44.070000,90.000000,bottom
"J5","Breakout 1.1v","PinHeader_1x02_P2.54mm_Vertical",-68.460000,62.625000,180.000000,bottom
"R1","1k","R_0805_2012Metric",-76.720000,53.660000,90.000000,bottom
"R3","27","R_0805_2012Metric",-20.078669,46.697416,-135.000000,bottom
"R4","27","R_0805_2012Metric",-21.458669,48.087416,-135.000000,bottom
"R5","1k","R_0805_2012Metric",-46.127248,55.860000,135.000000,bottom
"R8","10k","R_0805_2012Metric",-96.170000,53.660000,-90.000000,bottom
"SW9998","RESET","SW_SPST_TL3342",-90.900000,52.340000,0.000000,bottom
"SW9999","RESET ","SW_SPST_TL3342",-82.010000,52.340000,0.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-39.007248,36.730000,-90.000000,bottom
"U3","RP2040","RP2040-QFN-56",-39.987248,49.210000,45.000000,bottom
"U4","XC6206P Smaller footprint, less mA ~.5","SOT-23",-13.990000,52.000000,90.000000,bottom
"Y0","12MHZ Crystal ","Crystal_SMD_3225-4Pin_3.2x2.5mm",-49.770934,52.194955,-135.000000,bottom
